likes,about_post,date,type,comments,tagged_names
487620.0, jacquelinef143 Verified HappyWorldCatday#meow 10w,AUGUST 8,post,3382.0, 
1029038.0, jacquelinef143 Verified Getashinyelegantlookwithafloraldressthatyouhavebeenlookingfor🌸🌸WearalittlethisWowthisEid#WearALittleWow#SplashFashions Shoponlineatwww.splashfashions.com🥰😍😘 11w,JULY 30,post,4831.0, 
2417086.0, jacquelinef143 Verified #dilbechara❤️ 12w,JULY 24,video,3578.0, 
740939.0, jacquelinef143 Verified Sunsetexplosion#home💜 12w,JULY 22,post,5654.0, 
612671.0, jacquelinef143 Verified Breakfastinbed#miumiu🌸 13w,JULY 20,post,4937.0, 
2960250.0," jacquelinef143 Verified EnjoyingPizzaHut’sMyBox,a3-coursemealwithmychilledPepsi!!AllsetfortheweekendSwag!🤘  ",JULY 18,video,13100.0,  @pepsiindia @pizzahut_india 13w
885488.0, jacquelinef143 Verified Thistimelastyear..Imissyoumymonitorfriend.. 13w,JULY 16,post,4350.0, 
2123553.0, jacquelinef143 Verified Ihavebeendealingwithsomemajoranxietythesepastfewweeks..howeverbeingconsistentwithyogahastaughtmethevaluablelessonofbeinginthemomentandwhat’sevenmoreimportant..gratitude..forlifeandbeingalive..haveagreatdayeveryone!Namaste🙏🏻 15w,JULY 8,video,10300.0, 
1748722.0, jacquelinef143 Verified #dilbechara💔 15w,JULY 6,video,3770.0, 
1677072.0, jacquelinef143 Verified MonsoonSunday🦄 15w,JULY 5,post,3600.0, 
989125.0, jacquelinef143 Verified WhenLokidecidestobepartofmyonlinemeditationclass!Thanks  forthegreatsession!Socalming💜💜💜 15w,JULY 2,post,11000.0,  @narayanishurjo108 @mumbaiananda
1882384.0, jacquelinef143 Verified Cinema..themostbeautifulfraudintheworld🧿insidelookingout.. 16w,JULY 1,post,22500.0, 
1791178.0," jacquelinef143 Verified Hungamahonewalahai!It'stheGrandFinaleof#HomeDancer!Iamsoexcitedandcurious,whowillbethewinner?Don'tmissitbecauseyourfavouritestars   and areallgoingtobethere!Watchonlyon ",JUNE 29,video,23400.0,  @iam_ejf @aslimonalisa @rithvik_d @karanwahi @DisneyPlusHotstar! 16w
942667.0," jacquelinef143 Verified Hisgoinghasleftavoid,everywhereandwitheveryone..hetaughtmetoALWAYSbethereforpeople,wheneverIwasdownorconfused,heneverhesitatedtohelp..watchinghisfilmisnotgoingtobeeasyformebutIknowhe’sgoingtolightupthescreensobeautifullyandthatwillgivemesomepeace... IknowhowcloseyouweretoSushant,plsstaystrong allthebestforyourdebut,youhadanamazingfirstco-starandI’msurehewould’vebeenproudoftheperformanceyou’vegiven..#dilbechara  24thJuly#countdowntodilbechara 16w",JUNE 26,post,3064.0,  @castingchhabra @sanjanasanghi96 @foxstarhindi @disneyplushotstar
10471402.0," jacquelinef143 Verified Iwillalwaysrememberyouthisway..hardworking,caring,intelligentandfullofpassion💔💔💔 18w",JUNE 14,video,22500.0, 
3209044.0, jacquelinef143 Verified Sush...😢😢😢I’msosorry...RIP 18w,JUNE 14,post,23400.0, 
2207444.0, jacquelinef143 Verified Riseandshine☀️ 19w,JUNE 7,post,3064.0, 
2224907.0, jacquelinef143 Verified Letthepositivitytakeovertheworld!Bringingyouthisspecialcoverwith 💜💜 19w,JUNE 6,video,3124.0,  @feminaindia
599673.0, jacquelinef143 Verified 💔 20w,JUNE 1,post,3714.0, 
1923389.0," jacquelinef143 Verified You'llneverdancealone,#HomeDancerkeWeek3mein!BecausethethemeforWeek3is#ChhoteBadeYaAapkePyaareSofindyourselfkoibhipartnerandsendinyourentriesto 😀Toparticipatenow,logontohomedancer.hotstar.com    ",MAY 30,video,10500.0,"  @DisneyPlusHotstar @DisneyPlusHotstar @sushi1983, @moonlight_chandni, @karanwahi 20w"
1553826.0, jacquelinef143 Verified EidMubarak! 21w,MAY 25,post,5404.0, 
1358021.0, jacquelinef143 Verified Thetimeisnow💜 21w,MAY 24,post,2384.0, 
