likes,about_post,date,type,comments,tagged_names
789561.0, kiaraaliaadvani Verified #GuiltyOnNetflix 30w,MARCH 6,post,1168.0, 
863732.0, kiaraaliaadvani Verified GuiltySquad🤘🏻 31w,MARCH 2,post,1344.0, 
1942457.0, kiaraaliaadvani Verified Sharing❤️for#AngreziMedium#KudiNuNachneDe🎶  #dineshvijan     ,MARCH 2,video,4138.0,  @irrfan @homster @maddockfilms @anaitashroffadajania @soulfulsachin @jigarsaraiyasoulfulsachin @jigarsaraiya 31w
5981465.0,   ❤️ 31w,MARCH 2,video,2330.0,  @kiaraaliaadvani Verified homster @maddockfilms
1301092.0," kiaraaliaadvani Verified Personalbiasorbeingjudgemental?Nankiwillbe#Guilty,nomatterwhathappens.         ",FEBRUARY 24,video,2009.0,  @#GuiltyOnNetflix  karanjohar @apoorva1972 @somenmishra @ruchinarain @akansharanjankapoor @gurfatehpirzada @itstahershabbir @dharmaticent @netflix_in 32w
2436748.0, kiaraaliaadvani Verified Aleafoutof#DabbooRatnaniCalendar!  ,FEBRUARY 18,post,1311.0,  @dabbooratnani @manishadratnani 33w
4303382.0," kiaraaliaadvani Verified GuiltyOrNot?  GuiltypremieresMarch6,onlyon         ",FEBRUARY 18,video,1854.0,  @netflix_in. @#GuiltyOnNetflix  karanjohar @apoorva1972 @somenmishra @ruchinarain @akansharanjankapoor @gurfatehpirzada @itstahershabbir @dharmaticent 33w
793285.0, kiaraaliaadvani Verified #Guilty.Trailerout    ,FEBRUARY 17,post,961.0,  @tomorrow.⁣ ⁣ ruchinarain @apoorva1972 @karanjohar @netflix_in 33w
1369972.0," kiaraaliaadvani Verified Self-loveisasuperpower.Whenthingschangeinsideyou,thingschangearoundyou.HappyValentine’sDay!❤ 33w",FEBRUARY 14,post,536.0, 
828467.0, kiaraaliaadvani Verified 🤍 34w,FEBRUARY 11,post,2939.0, 
656012.0, kiaraaliaadvani Verified 💜aglancebychance 34w,FEBRUARY 11,post,655.0, 
479010.0," kiaraaliaadvani Verified 🧡 . . Editor:NonitaKalra Director:YurreipemArthur Director:MohanNeelakantan TarasTaraporvala atInega LekhaGupta HiralBhatia Editor:SandipanDalal Consultant:RavneetKaurSethi LuvIsrrani Assistant:KaranDave publicist:SanchitaTrivedi IDHYAH CourtesyofDorothy andNikkiWagle’s residenceinImperialTowers,Mumbai Production:PProduction Assistant:ShrutiJoshi Intern:YashnaJain ",FEBRUARY 11,post,43800.0,"  @(nonitakalra) Creative @(yurreipem) Fashion @(mohanneelakantan) Photographer: @(taras84) @(inega.in) Makeup: @(makeupbylekha) Hair: @(bbhiral) Contributing @(sandipandalal) Digital @(ravneetkaurr) Videography: @(luvisrrani) Video @(getkarantoclick) Actor's @(sanchitatrivedi), @(idhyahmedia) Location: @(dottiewagle) @(nikkiwagle) @(p.productions_) #TeamBridesToday Fashion @(shrutijoshi21) Fashion @(kouchpotateaux) #bridestodayin 34w"
1509995.0, kiaraaliaadvani Verified 💜#anissamaangayi 35w,FEBRUARY 4,post,1275.0, 
2302954.0," kiaraaliaadvani Verified Togetherisacelebration!Soexcitedtobethefaceof Celebratingthisweddingseasoninthemostelegantofoutfits!ShopataMebazstorenearyouthisweddingseason,fortheoutfitofyourdreams.#Mebaz#WeddingCampaign ",JANUARY 31,video,979.0,  @mebazworld. @thedeverakonda 35w
973047.0,  stepsovertothedarksideandisdivingintotheseasofhorror!#DharmaGoesDark  ,JANUARY 28,video,3699.0,  @kiaraaliaadvani Verified DharmaMovies @👻  karanjohar @apoorva1972 36w
1019872.0, kiaraaliaadvani Verified Let’sspreadthecolourofloveandtogetherness.🧡🤍💙💚HappyRepublicDayeveryone!🇮🇳 36w,JANUARY 26,post,1935.0, 
2832124.0," kiaraaliaadvani Verified A#GoodNewwzlikenoother!🥳 Ourgoof-upstorygetsallllthelove,crosses💯+💯attheBoxOffice! Overwhelmed,humbledandelated #KareenaKapoorKhan        #CapeOfGoodFilms ",JANUARY 20,video,1445.0,  @🤩  akshaykumar @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @zeestudiosofficial @dharmamovies @zeemusiccompany 37w
565644.0," kiaraaliaadvani Verified ThrilledtobeapartofanodetotheKargilWarhero&hisbravejourney.PresentingtheUNTOLDTRUESTORYofCaptainVikramBatra(PVC)-#Shershaah.AurJanamdinMubarak ❤Releasing3rdJuly,2020.  #VishnuVaradhan        ",JANUARY 16,post,3699.0,  @sidmalhotra! @karanjohar @apoorva1972 @shabbirboxwalaofficial @ajay1059 @harrygandhi @somenmishra @dharmamovies @kaashent 37w
