likes,about_post,date
"1,369,972 likes","kiaraaliaadvani
Verified
Self-love is a superpower. When things change inside you, things change around you. Happy Valentine’s Day! ❤
33w",FEBRUARY 14
"828,467 likes","kiaraaliaadvani
Verified
🤍
34w",FEBRUARY 11
"656,012 likes","kiaraaliaadvani
Verified
💜 a glance by chance
34w",FEBRUARY 11
"479,010 likes","kiaraaliaadvani
Verified
🧡
.
.
Editor: Nonita Kalra (@nonitakalra)
Creative Director: Yurreipem Arthur (@yurreipem)
Fashion Director: Mohan Neelakantan (@mohanneelakantan)
Photographer: Taras Taraporvala (@taras84) at Inega (@inega.in)
Makeup: Lekha Gupta (@makeupbylekha)
Hair: Hiral Bhatia (@bbhiral)
Contributing Editor: Sandipan Dalal (@sandipandalal)
Digital Consultant: Ravneet Kaur Sethi (@ravneetkaurr)
Videography: Luv Isrrani (@luvisrrani)
Video Assistant: Karan Dave (@getkarantoclick)
Actor's publicist: Sanchita Trivedi (@sanchitatrivedi), IDHYAH (@idhyahmedia)
Location: Courtesy of Dorothy (@dottiewagle) and Nikki Wagle’s (@nikkiwagle) residence in Imperial Towers, Mumbai
Production: P Production (@p.productions_)
#TeamBridesToday
Fashion Assistant: Shruti Joshi (@shrutijoshi21)
Fashion Intern: Yashna Jain (@kouchpotateaux)
#bridestodayin
34w",FEBRUARY 11
"1,509,995 likes","kiaraaliaadvani
Verified
💜 #anissamaangayi
35w",FEBRUARY 4
"2,302,954 views","kiaraaliaadvani
Verified
Together is a celebration! So excited to be the face of @mebazworld. Celebrating this wedding season in the most elegant of outfits! Shop at a Mebaz store near you this wedding season, for the outfit of your dreams. #Mebaz #WeddingCampaign @thedeverakonda
35w",JANUARY 31
"973,047 views","kiaraaliaadvani
Verified
@DharmaMovies steps over to the dark side and is diving into the seas of horror! #DharmaGoesDark 👻

@karanjohar @apoorva1972
36w",JANUARY 28
"1,019,872 likes","kiaraaliaadvani
Verified
Let’s spread the colour of love and togetherness.🧡🤍💙💚 Happy Republic Day everyone! 🇮🇳
36w",JANUARY 26
"2,832,124 views","kiaraaliaadvani
Verified
A #GoodNewwz like no other! 🥳
Our goof-up story gets allll the love, crosses 💯+💯 at the Box Office!
Overwhelmed, humbled and elated 🤩

@akshaykumar #KareenaKapoorKhan @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @zeestudiosofficial @dharmamovies #CapeOfGoodFilms @zeemusiccompany
37w",JANUARY 20
"565,644 likes","kiaraaliaadvani
Verified
Thrilled to be a part of an ode to the Kargil War hero & his brave journey. Presenting the UNTOLD TRUE STORY of Captain Vikram Batra (PVC) - #Shershaah. Aur Janamdin Mubarak @sidmalhotra! ❤ Releasing 3rd July, 2020.

#VishnuVaradhan @karanjohar @apoorva1972 @shabbirboxwalaofficial @ajay1059 @harrygandhi @somenmishra @dharmamovies @kaashent
37w",JANUARY 16
"1,655,418 views","kiaraaliaadvani
Verified
I am Kiara Advani and #IAmAboAthead! 🎧
@boat.nirvana 🤙🏻
39w",JANUARY 4
"1,370,880 likes","kiaraaliaadvani
Verified
Further you look, closer you feel
39w",JANUARY 3
"1,100,774 likes","kiaraaliaadvani
Verified
Walking safari 🦒 #OneWithNature
39w",JANUARY 3
"2,033,315 views","kiaraaliaadvani
Verified
#GoodNewwz continues to pour in!! 😁
Hitting a 💯 century and counting at the box office! Thank you for the love!

@akshaykumar #KareenaKapoorKhan @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @zeestudiosofficial @dharmamovies #CapeOfGoodFilms @zeemusiccompany
39w",JANUARY 2
"926,363 views","kiaraaliaadvani
Verified
2019 has been an extremely special year for me in more ways than one…It has truly been a blessing!
Thank you for the immense love for Kabir Singh & Good Newwz! I take all of this with utmost gratitude and wanna thank not only the audience, but also everyone working with me! Whatever I am is because of you all. Wishing you all a very blessed 2020! See you at the movies with Laxmmi Bomb, Indoo Ki Jawaani, Bhool Bhulaiyaa 2, Shershah & Guilty.
40w","DECEMBER 31, 2019"
"2,557,180 views","kiaraaliaadvani
Verified
Letting y'all in on a well-guarded secret. 🤫
From singing for myself to onstage at #StarScreenAwards! Tune in to @starplus tonight at 8 PM to catch the full act. @cineyug
40w","DECEMBER 31, 2019"
"380,035 likes","kiaraaliaadvani
Verified
Our baby and labour of love delivers with a bang at the Box Office. 😇

#GoodNewwz in Cinemas Now.
Book tickets, link in bio.

@akshaykumar #KareenaKapoorKhan @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @zeestudiosofficial @dharmamovies #CapeOfGoodFilms @zeemusiccompany
40w","DECEMBER 28, 2019"
"341,657 likes","kiaraaliaadvani
Verified
Merry Christamsssss❤️🥰🤗🥳🎅🏽🎅🏽🤩💥💕
40w","DECEMBER 25, 2019"
"547,672 likes","kiaraaliaadvani
Verified
There’s nothing better than seeing my sister Soooo happy and that’s what you bring to all our lives @karmavivan ! Welcoming my brother to the family.. you passed with flying colours!❤️🙌🏼🥰🤗🥳💕 First addition to our family! We love you and can’t wait for all the fun times ahead and to share this amazing journey together! I wish you both a lifetime of love and happiness 💕 #IshiGotHerKarma
41w","DECEMBER 22, 2019"
"970,337 views","kiaraaliaadvani
Verified
#GoodNewwz for the day? You can now book your tickets for unlimited laughter & love! ♥
Advance bookings now open, in cinemas 27th Dec!

@akshaykumar #KareenaKapoorKhan @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @zeestudiosofficial @dharmamovies #CapeOfGoodFilms @zeemusiccompany #GoodNewwzThisFriday
41w","DECEMBER 22, 2019"
"1,390,932 views","kiaraaliaadvani
Verified
Can't stop the bhangra on screen or off screen!

#SaudaKharaKhara making out now!
#GoodNewwz in cinemas 27th December.

@akshaykumar #KareenaKapoorKhan @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @sukhbir_singer @dhvanibhanushali22 @dj.lijo @djchetas @kumaarofficial @azeemdayani @zeestudiosofficial @dharmamovies #CapeOfGoodFilms @zeemusiccompany
41w","DECEMBER 21, 2019"
